rel way node lat lon
relation 90404358 1048821761 51.5051392 -0.0885655
relation 90404358 1048821618 51.5050702 -0.0883271
relation 90404358 1048822042 51.5049506 -0.0884166
-- http://www.openstreetmap.org/way/95809105 Chiltern Open Air Museum
relation 95809105 1110415070 51.6338717 -0.5434853
relation 95809105 1110415031 51.6341980 -0.5431045
relation 95809105 1110415244 51.6344742 -0.5421013
relation 95809105 1110414904 51.6345444 -0.5418122
relation 95809105 1110414914 51.6346275 -0.5415498
relation 95809105 1110414879 51.6349769 -0.5404652
relation 95809105 1110415137 51.6353765 -0.5402560
relation 95809105 1970158320 51.6357949 -0.5405423
relation 95809105 1110414983 51.6363720 -0.5409372
relation 95809105 1110415088 51.6367349 -0.5377615
relation 95809105 1110415065 51.6361371 -0.5375314
relation 95809105 1110414882 51.6360740 -0.5375019
relation 95809105 1110414991 51.6361582 -0.5369601
relation 95809105 1110415260 51.6361968 -0.5367871
relation 95809105 1110414851 51.6361386 -0.5359985
relation 95809105 1110415114 51.6359656 -0.5355795
relation 95809105 1110414931 51.6365651 -0.5346126
relation 95809105 1110414906 51.6367615 -0.5343444
relation 95809105 1110415196 51.6369846 -0.5342746
relation 95809105 1110414926 51.6372043 -0.5343175
relation 95809105 1110415149 51.6372842 -0.5345268
relation 95809105 1110415175 51.6373875 -0.5349666
relation 95809105 1110414929 51.6375339 -0.5359805
relation 95809105 1110414911 51.6377570 -0.5373860
relation 95809105 1110415036 51.6379899 -0.5390884
relation 95809105 1110414912 51.6381224 -0.5397656
relation 95809105 1110415176 51.6379959 -0.5409673
relation 95809105 1110415133 51.6379864 -0.5412602
relation 95809105 1110415271 51.6379817 -0.5416472
relation 95809105 1110415257 51.6379157 -0.5418194
relation 95809105 1110414895 51.6376538 -0.5421496
